sprechrolleID	personID	pseudonymID
1627	11	
1628	483	
1629	446	
1630	484	
1631	177	
1632	16	
1633	485	
1634	486	
1635	168	
1636	487	
1637	426	
1638	388	
1639	4	
1640	5	
1641	6	
1642	480	
1643	479	
1644	488	
1645	326	
1646	489	
1647	490	
1648	491	
1649	259	
1650	388	
1651	4	
1652	5	
1653	6	
1654	493	
1655	312	
1656	494	
1657	481	
1658	495	
1659	496	
1660	497	
1661	498	
1662	499	
1663	388	
1664	4	
1665	5	
1666	6	
1667	351	
1668	500	
1669	490	
1670	501	
1671	502	
1672	388	
1673	4	
1674	5	
1675	6	
1676	112	
1677	45	
1678	389	
1679	503	
1680	468	
1681	388	
1682	4	
1683	5	
1684	6	
1685	384	
1686	13	2
1687	168	
1688	108	
1689	504	
1690	505	
1691	506	
1692	110	
1693	388	
1694	4	
1695	5	
1696	6	
1697	384	
1698	13	2
1699	168	
1700	385	
1701	507	
1702	505	
1703	506	
1704	19	
1705	14	
1706	390	
1707	250	
1708	508	
1709	44	5
1710	388	
1711	4	
1712	5	
1713	6	
1714	384	
1715	13	2
1716	168	
1717	507	
1718	478	
1719	506	
1720	374	
1721	444	
1722	250	
1723	503	
1724	44	5
1725	16	
1726	509	
1727	388	
1728	4	
1729	5	
1730	6	
1731	509	
1732	510	
1733	468	
1734	511	
1735	512	
1736	32	
1737	26	
1738	388	
1739	4	
1740	5	
1741	6	
1742	168	
1743	220	
1744	468	
1745	513	
1746	92	
1747	514	
1748	510	
1749	515	
1750	361	
1751	256	
1752	388	
1753	4	
1754	5	
1755	6	
1756	36	
1757	513	
1758	427	
1759	47	
1760	168	
1761	166	
1762	220	
1763	388	
1764	4	
1765	5	
1766	6	
1767	413	
1768	516	
1769	401	
1770	361	
1771	517	
1772	166	
1773	32	
1774	16	
1775	110	
1776	327	
1777	256	
1778	518	
1779	519	
1780	509	
1781	388	
1782	4	
1783	5	
1784	6	
1785	16	
1786	44	5
1787	14	
1788	520	
1789	454	
1790	401	
1791	521	
1792	522	
1793	523	
1794	78	
1795	388	
1796	4	
1797	5	
1798	6	
1799	442	
1800	386	
1801	524	
1802	525	
1803	265	
1804	526	
1805	440	
1806	527	
1807	528	
1808	388	
1809	4	
1810	5	
1811	6	
1812	36	
1813	396	
1814	529	
1815	530	
1816	531	
1817	532	
1818	14	
1819	168	
1820	500	
1821	444	
1822	266	
1823	458	
1824	388	
1825	4	
1826	5	
1827	6	
1828	282	
1829	250	
1830	533	
1831	374	
1832	19	
1833	148	
1834	510	
1835	312	
1836	444	
1837	388	
1838	4	
1839	5	
1840	6	
1841	534	
1842	313	
1843	535	
1844	168	
1845	536	
1846	537	
1847	247	
1848	388	
1849	4	
1850	5	
1851	6	
1852	312	
1853	415	
1854	538	
1855	426	
1856	539	
1857	264	
1858	388	
1859	4	
1860	5	
1861	6	
1862	514	
1863	376	
1864	540	
1865	459	
1866	175	
1867	311	
1868	541	
1869	277	
1870	94	
1871	147	
1872	388	
1873	4	
1874	5	
1875	6	
1876	92	
1877	278	
1878	537	
1879	542	
1880	258	
1881	543	
1882	388	
1883	4	
1884	5	
1885	6	
1886	42	
1887	168	
1888	544	
1889	545	
1890	388	
1891	4	
1892	5	
1893	6	
1894	44	5
1895	168	
1896	9	
1897	14	
1898	523	
1899	218	
1900	396	
1901	546	
1902	547	
1903	548	
1904	93	
1905	427	
1906	313	
1907	266	
1908	388	
1909	4	
1910	5	
1911	6	
1912	549	
1913	550	
1914	551	
1915	327	
1916	112	
1917	523	
1918	426	
1919	313	
1920	133	
1921	388	
1922	4	
1923	5	
1924	6	
1925	44	5
1926	168	
1927	552	
1928	376	
1929	468	
1930	550	
1931	149	
1932	553	
1933	554	
1934	265	
1935	555	
1936	491	
1937	388	
1938	4	
1939	5	
1940	6	
1941	16	
1942	44	5
1943	168	
1944	108	
1945	479	
1946	379	
1947	426	
1948	478	
1949	351	
1950	71	
1951	556	
1952	557	
1953	558	
1954	96	
1955	463	
1956	530	
1957	550	
1958	378	
1959	555	
1960	388	
1961	4	
1962	5	
1963	6	
1964	16	
1965	168	
1966	108	
1967	557	
1968	558	
1969	559	
1970	560	
1971	379	
1972	364	
1973	561	
1974	562	
1975	556	
1976	265	
1977	468	
1978	389	
1979	71	
1980	96	
1981	555	
1982	388	
1983	4	
1984	5	
1985	6	
1986	16	
1987	189	
1988	168	
1989	36	
1990	389	
1991	147	
1992	108	
1993	532	
1993	533	
1994	386	
1994	340	
1995	376	
1995	563	
1996	210	
1996	564	
1997	565	
1998	450	
1999	491	
2000	121	
2001	558	
2002	557	
2003	559	
2004	71	
2005	96	
2006	530	
2007	556	
2008	470	
2009	566	
2010	378	
2011	379	
2012	555	
2013	388	
2014	4	
2015	5	
2016	6	
2017	136	
2018	568	
2019	557	
2020	519	
2021	569	
2022	570	
2023	571	
2024	401	
2025	71	
2026	572	
2027	573	
2028	574	
2029	149	
2030	96	
2031	388	
2032	4	
2033	5	
2034	6	
2035	575	
2036	168	
2037	220	
2038	576	
2039	401	
2040	378	
2041	478	
2042	446	
2043	388	
2044	4	
2045	5	
2046	6	
2047	44	5
2048	577	
2049	250	
2050	578	
2051	149	
2052	168	
2053	220	
2054	519	
2055	388	
2056	4	
2057	5	
2058	6	
2059	579	
2060	259	
2061	174	
2062	580	
2063	581	
2064	514	
2065	582	
2066	20	
2067	4	
2068	5	
2069	6	
2070	19	
2071	583	
2072	86	
2073	353	
2074	396	
2075	11	
2076	480	
2077	584	
2078	582	
2079	585	
2080	247	
